unit,date,<20,20s,30s,40s,50s,60s,70s,80s,90s
Halton Regional Health Unit,05-12,13.0,76.0,46.0,52.0,87.0,56.0,39.0,53.0,38.0
Halton Regional Health Unit,05-13,13.0,76.0,46.0,52.0,87.0,57.0,40.0,53.0,38.0
Halton Regional Health Unit,05-14,13.0,76.0,46.0,52.0,87.0,57.0,41.0,55.0,38.0
Halton Regional Health Unit,05-15,13.0,76.0,46.0,53.0,88.0,57.0,41.0,55.0,38.0
Halton Regional Health Unit,05-16,13.0,78.0,46.0,53.0,88.0,58.0,41.0,55.0,39.0
Halton Regional Health Unit,05-17,13.0,78.0,47.0,53.0,88.0,58.0,42.0,55.0,39.0
Halton Regional Health Unit,05-18,13.0,80.0,50.0,54.0,89.0,60.0,42.0,55.0,39.0
Halton Regional Health Unit,05-19,13.0,81.0,50.0,54.0,89.0,60.0,43.0,56.0,39.0
Halton Regional Health Unit,05-20,13.0,82.0,50.0,55.0,91.0,60.0,44.0,57.0,39.0
Halton Regional Health Unit,05-21,13.0,82.0,50.0,55.0,91.0,60.0,44.0,57.0,39.0
Halton Regional Health Unit,05-22,13.0,82.0,52.0,55.0,92.0,61.0,44.0,57.0,39.0
Halton Regional Health Unit,05-23,13.0,84.0,52.0,55.0,95.0,61.0,44.0,57.0,39.0
Halton Regional Health Unit,05-24,13.0,84.0,52.0,55.0,95.0,61.0,45.0,57.0,39.0
Halton Regional Health Unit,05-25,13.0,86.0,53.0,55.0,96.0,61.0,45.0,57.0,39.0
Halton Regional Health Unit,05-26,13.0,87.0,53.0,56.0,96.0,61.0,45.0,58.0,40.0
Halton Regional Health Unit,05-27,13.0,87.0,54.0,56.0,96.0,61.0,46.0,59.0,40.0
Halton Regional Health Unit,05-28,13.0,89.0,57.0,58.0,97.0,61.0,46.0,59.0,40.0
Halton Regional Health Unit,05-29,13.0,94.0,62.0,59.0,97.0,61.0,46.0,59.0,40.0
Halton Regional Health Unit,05-30,14.0,96.0,62.0,59.0,97.0,61.0,47.0,60.0,40.0
Halton Regional Health Unit,05-31,15.0,97.0,62.0,59.0,97.0,61.0,48.0,60.0,40.0
Halton Regional Health Unit,06-01,16.0,97.0,62.0,59.0,97.0,62.0,48.0,60.0,40.0
Halton Regional Health Unit,06-02,17.0,98.0,62.0,62.0,97.0,62.0,48.0,60.0,40.0
Halton Regional Health Unit,06-03,17.0,98.0,63.0,63.0,97.0,62.0,48.0,60.0,40.0
Halton Regional Health Unit,06-04,17.0,99.0,63.0,63.0,97.0,62.0,48.0,60.0,40.0
Halton Regional Health Unit,06-05,19.0,100.0,63.0,63.0,98.0,62.0,48.0,60.0,40.0
Halton Regional Health Unit,06-06,19.0,100.0,63.0,63.0,98.0,62.0,48.0,60.0,40.0
Halton Regional Health Unit,06-07,19.0,102.0,63.0,64.0,98.0,64.0,48.0,60.0,40.0
Halton Regional Health Unit,06-08,19.0,103.0,63.0,64.0,98.0,64.0,48.0,60.0,40.0
Halton Regional Health Unit,06-09,19.0,107.0,64.0,64.0,99.0,66.0,48.0,60.0,40.0
Halton Regional Health Unit,06-10,19.0,107.0,65.0,64.0,99.0,66.0,48.0,60.0,40.0
Halton Regional Health Unit,06-11,19.0,110.0,65.0,64.0,100.0,66.0,48.0,60.0,40.0
Halton Regional Health Unit,06-12,20.0,112.0,65.0,64.0,100.0,66.0,48.0,61.0,40.0
Halton Regional Health Unit,06-13,21.0,113.0,65.0,64.0,100.0,67.0,48.0,61.0,40.0
Halton Regional Health Unit,06-14,22.0,116.0,66.0,64.0,100.0,67.0,49.0,61.0,40.0
Halton Regional Health Unit,06-15,23.0,119.0,66.0,65.0,100.0,67.0,49.0,61.0,40.0
Halton Regional Health Unit,06-16,24.0,119.0,68.0,65.0,100.0,68.0,49.0,62.0,40.0
Halton Regional Health Unit,06-17,25.0,119.0,69.0,66.0,102.0,68.0,49.0,62.0,40.0
Halton Regional Health Unit,06-18,27.0,119.0,69.0,66.0,102.0,69.0,49.0,62.0,40.0
Halton Regional Health Unit,06-19,27.0,119.0,69.0,66.0,102.0,69.0,49.0,62.0,40.0
Halton Regional Health Unit,06-20,27.0,120.0,69.0,66.0,102.0,69.0,51.0,62.0,40.0
Halton Regional Health Unit,06-21,27.0,121.0,69.0,66.0,102.0,69.0,51.0,62.0,40.0
Halton Regional Health Unit,06-22,27.0,122.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
Halton Regional Health Unit,06-23,27.0,123.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
Halton Regional Health Unit,06-24,27.0,124.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
Halton Regional Health Unit,06-25,27.0,125.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
Halton Regional Health Unit,06-26,28.0,127.0,69.0,66.0,102.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,06-27,29.0,130.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,06-28,29.0,133.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,06-29,29.0,134.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,06-30,29.0,134.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-01,29.0,135.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-02,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-03,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-04,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-05,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-06,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-07,29.0,137.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-08,29.0,137.0,71.0,67.0,103.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-09,29.0,137.0,72.0,67.0,103.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-10,29.0,138.0,72.0,67.0,103.0,71.0,52.0,62.0,40.0
Halton Regional Health Unit,07-11,29.0,138.0,73.0,69.0,103.0,71.0,53.0,63.0,40.0
Halton Regional Health Unit,07-12,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
Halton Regional Health Unit,07-13,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
Halton Regional Health Unit,07-14,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
Halton Regional Health Unit,07-15,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
Halton Regional Health Unit,07-16,29.0,138.0,74.0,70.0,103.0,71.0,53.0,63.0,40.0
Halton Regional Health Unit,07-17,29.0,138.0,74.0,70.0,104.0,73.0,53.0,63.0,40.0
Halton Regional Health Unit,07-18,29.0,138.0,75.0,70.0,105.0,73.0,53.0,63.0,40.0
Halton Regional Health Unit,07-19,29.0,138.0,75.0,70.0,105.0,73.0,53.0,63.0,40.0
Halton Regional Health Unit,07-20,29.0,138.0,76.0,70.0,105.0,73.0,54.0,63.0,40.0
Halton Regional Health Unit,07-21,29.0,138.0,77.0,70.0,105.0,73.0,54.0,63.0,40.0
Halton Regional Health Unit,07-22,29.0,140.0,78.0,70.0,105.0,73.0,54.0,63.0,40.0
Halton Regional Health Unit,07-23,30.0,143.0,79.0,71.0,106.0,73.0,54.0,63.0,40.0
Halton Regional Health Unit,07-24,30.0,143.0,81.0,71.0,107.0,73.0,54.0,63.0,40.0
Halton Regional Health Unit,07-25,30.0,143.0,81.0,71.0,108.0,74.0,54.0,63.0,40.0
Halton Regional Health Unit,07-26,30.0,144.0,81.0,72.0,108.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,07-27,30.0,144.0,81.0,72.0,108.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,07-28,30.0,144.0,82.0,73.0,108.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,07-29,30.0,144.0,82.0,73.0,108.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,07-30,32.0,144.0,83.0,74.0,109.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,07-31,32.0,145.0,83.0,74.0,109.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-01,32.0,145.0,84.0,74.0,109.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-02,32.0,146.0,85.0,75.0,109.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-03,32.0,146.0,85.0,75.0,109.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-04,32.0,147.0,85.0,75.0,109.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-05,32.0,147.0,86.0,75.0,109.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-06,32.0,147.0,87.0,75.0,109.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-07,32.0,147.0,87.0,75.0,109.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-08,32.0,147.0,87.0,75.0,110.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-09,32.0,148.0,87.0,75.0,110.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-10,32.0,148.0,88.0,76.0,111.0,75.0,54.0,63.0,40.0
Halton Regional Health Unit,08-11,32.0,149.0,89.0,77.0,111.0,76.0,54.0,63.0,40.0
Halton Regional Health Unit,08-12,33.0,149.0,89.0,78.0,111.0,76.0,54.0,63.0,40.0
Halton Regional Health Unit,08-13,33.0,149.0,90.0,79.0,111.0,76.0,54.0,63.0,40.0
Halton Regional Health Unit,08-14,40.0,150.0,91.0,80.0,112.0,76.0,55.0,63.0,40.0
Halton Regional Health Unit,08-15,40.0,150.0,91.0,80.0,112.0,76.0,55.0,63.0,40.0
Halton Regional Health Unit,08-16,41.0,151.0,91.0,80.0,112.0,76.0,55.0,63.0,40.0
Halton Regional Health Unit,08-17,41.0,152.0,91.0,81.0,112.0,76.0,55.0,63.0,40.0
Halton Regional Health Unit,08-18,45.0,153.0,92.0,81.0,112.0,76.0,55.0,63.0,40.0
Halton Regional Health Unit,08-19,45.0,153.0,93.0,81.0,113.0,76.0,55.0,63.0,40.0
Halton Regional Health Unit,08-20,45.0,153.0,93.0,81.0,113.0,76.0,55.0,63.0,40.0
Halton Regional Health Unit,08-21,45.0,153.0,93.0,81.0,113.0,76.0,55.0,63.0,40.0
Halton Regional Health Unit,08-22,45.0,153.0,93.0,81.0,113.0,76.0,55.0,63.0,40.0
City of Hamilton Health Unit,01-25,,1.0,,,,,,,
City of Hamilton Health Unit,01-26,,1.0,,,,,,,
City of Hamilton Health Unit,01-27,,1.0,,,,,,,
City of Hamilton Health Unit,01-28,,1.0,,,,,,,
City of Hamilton Health Unit,01-29,,1.0,,,,,,,
City of Hamilton Health Unit,01-30,,1.0,,,,,,,
City of Hamilton Health Unit,01-31,,1.0,,,,,,,
City of Hamilton Health Unit,02-01,,1.0,,,,,,,
City of Hamilton Health Unit,02-02,,1.0,,,,,,,
City of Hamilton Health Unit,02-03,,1.0,,,,,,,
City of Hamilton Health Unit,02-04,,1.0,,,,,,,
City of Hamilton Health Unit,02-05,,1.0,,,,,,,
City of Hamilton Health Unit,02-06,,1.0,,,,,,,
City of Hamilton Health Unit,02-07,,1.0,,,,,,,
City of Hamilton Health Unit,02-08,,1.0,,,,,,,
City of Hamilton Health Unit,02-09,,1.0,,,,,,,
City of Hamilton Health Unit,02-10,,1.0,,,,,,,
City of Hamilton Health Unit,02-11,,1.0,,,,,,,
City of Hamilton Health Unit,02-12,,1.0,,,,,,,
City of Hamilton Health Unit,02-13,,1.0,,,,,,,
City of Hamilton Health Unit,02-14,,1.0,,,,,,,
City of Hamilton Health Unit,02-15,,1.0,,,,,,,
City of Hamilton Health Unit,02-16,,1.0,,,,,,,
City of Hamilton Health Unit,02-17,,1.0,,,,,,,
City of Hamilton Health Unit,02-18,,1.0,,,,,,,
City of Hamilton Health Unit,02-19,,1.0,,,,,,,
City of Hamilton Health Unit,02-20,,1.0,,,,,,,
City of Hamilton Health Unit,02-21,,1.0,,,,,,,
City of Hamilton Health Unit,02-22,,1.0,,,,,,,
City of Hamilton Health Unit,02-23,,1.0,,,,,,,
City of Hamilton Health Unit,02-24,,1.0,,,,,,,
City of Hamilton Health Unit,02-25,,1.0,,,,,,,
City of Hamilton Health Unit,02-26,,1.0,,,,,,,
City of Hamilton Health Unit,02-27,,1.0,,,,,,,
City of Hamilton Health Unit,02-28,,1.0,,,,,,,
City of Hamilton Health Unit,02-29,,1.0,,,,,,,
City of Hamilton Health Unit,03-01,,1.0,,,,,,,
City of Hamilton Health Unit,03-02,,1.0,,,,,,,
City of Hamilton Health Unit,03-03,,1.0,,,,,,,
City of Hamilton Health Unit,03-04,,1.0,,,,,,,
City of Hamilton Health Unit,03-05,,1.0,,,,,,,
City of Hamilton Health Unit,03-06,,1.0,,,,,,,
City of Hamilton Health Unit,03-07,,1.0,,,,,,,
City of Hamilton Health Unit,03-08,,1.0,,,,,,,
City of Hamilton Health Unit,03-09,,1.0,,,,,,,
City of Hamilton Health Unit,03-10,,1.0,,,,,,,
City of Hamilton Health Unit,03-11,,1.0,,,,,,,
City of Hamilton Health Unit,03-12,,1.0,,,1.0,,,,
City of Hamilton Health Unit,03-13,,1.0,,,1.0,,,,
City of Hamilton Health Unit,03-14,,1.0,,,1.0,,,,
City of Hamilton Health Unit,03-15,,1.0,,,1.0,,,,
City of Hamilton Health Unit,03-16,,2.0,,1.0,1.0,,,,
City of Hamilton Health Unit,03-17,,2.0,,1.0,1.0,1.0,,,
City of Hamilton Health Unit,03-18,,2.0,,1.0,1.0,1.0,,,
City of Hamilton Health Unit,03-19,1.0,3.0,,2.0,2.0,1.0,,,
City of Hamilton Health Unit,03-20,1.0,3.0,,2.0,3.0,2.0,1.0,,
City of Hamilton Health Unit,03-21,1.0,3.0,,2.0,3.0,2.0,1.0,,
City of Hamilton Health Unit,03-22,1.0,3.0,,4.0,4.0,3.0,1.0,,
City of Hamilton Health Unit,03-23,1.0,3.0,,4.0,4.0,3.0,2.0,,
City of Hamilton Health Unit,03-24,1.0,4.0,,4.0,4.0,4.0,3.0,1.0,
City of Hamilton Health Unit,03-25,1.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,
City of Hamilton Health Unit,03-26,1.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,
City of Hamilton Health Unit,03-27,1.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,
City of Hamilton Health Unit,03-28,1.0,5.0,7.0,5.0,6.0,5.0,4.0,2.0,
City of Hamilton Health Unit,03-29,1.0,7.0,7.0,6.0,6.0,5.0,5.0,2.0,1.0
City of Hamilton Health Unit,03-30,1.0,11.0,10.0,7.0,7.0,6.0,6.0,4.0,2.0
City of Hamilton Health Unit,03-31,1.0,12.0,10.0,10.0,10.0,8.0,9.0,4.0,3.0
City of Hamilton Health Unit,04-01,1.0,15.0,10.0,12.0,14.0,9.0,9.0,5.0,4.0
City of Hamilton Health Unit,04-02,1.0,16.0,11.0,15.0,21.0,9.0,9.0,6.0,4.0
City of Hamilton Health Unit,04-03,1.0,18.0,13.0,18.0,30.0,11.0,9.0,7.0,7.0
City of Hamilton Health Unit,04-04,1.0,20.0,17.0,20.0,36.0,14.0,10.0,7.0,9.0
City of Hamilton Health Unit,04-05,1.0,22.0,17.0,20.0,36.0,14.0,10.0,7.0,9.0
City of Hamilton Health Unit,04-06,1.0,23.0,19.0,21.0,38.0,19.0,12.0,8.0,10.0
City of Hamilton Health Unit,04-07,1.0,27.0,21.0,21.0,38.0,21.0,13.0,8.0,10.0
City of Hamilton Health Unit,04-08,1.0,27.0,21.0,21.0,38.0,22.0,16.0,10.0,12.0
City of Hamilton Health Unit,04-09,2.0,30.0,22.0,24.0,39.0,25.0,17.0,10.0,12.0
City of Hamilton Health Unit,04-10,2.0,31.0,23.0,25.0,42.0,28.0,21.0,11.0,12.0
City of Hamilton Health Unit,04-11,2.0,31.0,26.0,29.0,45.0,29.0,24.0,12.0,15.0
City of Hamilton Health Unit,04-12,2.0,34.0,27.0,34.0,52.0,29.0,26.0,14.0,15.0
City of Hamilton Health Unit,04-13,3.0,36.0,27.0,36.0,55.0,32.0,26.0,15.0,16.0
City of Hamilton Health Unit,04-14,3.0,36.0,27.0,36.0,56.0,32.0,27.0,16.0,16.0
City of Hamilton Health Unit,04-15,3.0,37.0,27.0,37.0,56.0,32.0,27.0,21.0,17.0
City of Hamilton Health Unit,04-16,4.0,39.0,29.0,38.0,58.0,34.0,28.0,28.0,23.0
City of Hamilton Health Unit,04-17,4.0,40.0,31.0,39.0,59.0,36.0,28.0,28.0,23.0
City of Hamilton Health Unit,04-18,4.0,44.0,32.0,42.0,60.0,36.0,31.0,30.0,26.0
City of Hamilton Health Unit,04-19,4.0,55.0,33.0,42.0,62.0,38.0,32.0,30.0,26.0
City of Hamilton Health Unit,04-20,4.0,57.0,34.0,42.0,67.0,38.0,32.0,32.0,27.0
City of Hamilton Health Unit,04-21,4.0,61.0,35.0,43.0,68.0,38.0,32.0,34.0,27.0
City of Hamilton Health Unit,04-22,4.0,61.0,37.0,43.0,69.0,38.0,32.0,34.0,28.0
City of Hamilton Health Unit,04-23,5.0,61.0,38.0,44.0,71.0,38.0,33.0,37.0,29.0
City of Hamilton Health Unit,04-24,6.0,61.0,42.0,44.0,72.0,38.0,33.0,38.0,29.0
City of Hamilton Health Unit,04-25,7.0,64.0,42.0,44.0,73.0,38.0,33.0,41.0,29.0
City of Hamilton Health Unit,04-26,7.0,65.0,42.0,44.0,74.0,38.0,33.0,41.0,29.0
City of Hamilton Health Unit,04-27,7.0,65.0,42.0,44.0,74.0,42.0,34.0,43.0,32.0
City of Hamilton Health Unit,04-28,7.0,65.0,42.0,46.0,76.0,45.0,34.0,44.0,33.0
City of Hamilton Health Unit,04-29,7.0,68.0,42.0,47.0,78.0,46.0,34.0,45.0,34.0
City of Hamilton Health Unit,04-30,7.0,70.0,43.0,47.0,79.0,46.0,34.0,46.0,36.0
City of Hamilton Health Unit,05-01,8.0,71.0,43.0,47.0,80.0,46.0,34.0,46.0,37.0
City of Hamilton Health Unit,05-02,8.0,72.0,43.0,47.0,80.0,47.0,35.0,46.0,37.0
City of Hamilton Health Unit,05-03,8.0,72.0,43.0,50.0,82.0,47.0,36.0,47.0,37.0
City of Hamilton Health Unit,05-04,8.0,72.0,44.0,50.0,82.0,47.0,36.0,47.0,37.0
City of Hamilton Health Unit,05-05,8.0,73.0,44.0,50.0,85.0,49.0,37.0,47.0,37.0
City of Hamilton Health Unit,05-06,8.0,73.0,44.0,50.0,86.0,51.0,38.0,47.0,38.0
City of Hamilton Health Unit,05-07,8.0,73.0,44.0,51.0,86.0,51.0,38.0,48.0,38.0
City of Hamilton Health Unit,05-08,8.0,73.0,44.0,51.0,86.0,51.0,38.0,48.0,38.0
City of Hamilton Health Unit,05-09,8.0,74.0,44.0,51.0,87.0,54.0,38.0,48.0,38.0
City of Hamilton Health Unit,05-10,10.0,75.0,46.0,52.0,87.0,56.0,39.0,52.0,38.0
City of Hamilton Health Unit,05-11,10.0,76.0,46.0,52.0,87.0,56.0,39.0,53.0,38.0
City of Hamilton Health Unit,05-12,13.0,76.0,46.0,52.0,87.0,56.0,39.0,53.0,38.0
City of Hamilton Health Unit,05-13,13.0,76.0,46.0,52.0,87.0,57.0,40.0,53.0,38.0
City of Hamilton Health Unit,05-14,13.0,76.0,46.0,52.0,87.0,57.0,41.0,55.0,38.0
City of Hamilton Health Unit,05-15,13.0,76.0,46.0,53.0,88.0,57.0,41.0,55.0,38.0
City of Hamilton Health Unit,05-16,13.0,78.0,46.0,53.0,88.0,58.0,41.0,55.0,39.0
City of Hamilton Health Unit,05-17,13.0,78.0,47.0,53.0,88.0,58.0,42.0,55.0,39.0
City of Hamilton Health Unit,05-18,13.0,80.0,50.0,54.0,89.0,60.0,42.0,55.0,39.0
City of Hamilton Health Unit,05-19,13.0,81.0,50.0,54.0,89.0,60.0,43.0,56.0,39.0
City of Hamilton Health Unit,05-20,13.0,82.0,50.0,55.0,91.0,60.0,44.0,57.0,39.0
City of Hamilton Health Unit,05-21,13.0,82.0,50.0,55.0,91.0,60.0,44.0,57.0,39.0
City of Hamilton Health Unit,05-22,13.0,82.0,52.0,55.0,92.0,61.0,44.0,57.0,39.0
City of Hamilton Health Unit,05-23,13.0,84.0,52.0,55.0,95.0,61.0,44.0,57.0,39.0
City of Hamilton Health Unit,05-24,13.0,84.0,52.0,55.0,95.0,61.0,45.0,57.0,39.0
City of Hamilton Health Unit,05-25,13.0,86.0,53.0,55.0,96.0,61.0,45.0,57.0,39.0
City of Hamilton Health Unit,05-26,13.0,87.0,53.0,56.0,96.0,61.0,45.0,58.0,40.0
City of Hamilton Health Unit,05-27,13.0,87.0,54.0,56.0,96.0,61.0,46.0,59.0,40.0
City of Hamilton Health Unit,05-28,13.0,89.0,57.0,58.0,97.0,61.0,46.0,59.0,40.0
City of Hamilton Health Unit,05-29,13.0,94.0,62.0,59.0,97.0,61.0,46.0,59.0,40.0
City of Hamilton Health Unit,05-30,14.0,96.0,62.0,59.0,97.0,61.0,47.0,60.0,40.0
City of Hamilton Health Unit,05-31,15.0,97.0,62.0,59.0,97.0,61.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-01,16.0,97.0,62.0,59.0,97.0,62.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-02,17.0,98.0,62.0,62.0,97.0,62.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-03,17.0,98.0,63.0,63.0,97.0,62.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-04,17.0,99.0,63.0,63.0,97.0,62.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-05,19.0,100.0,63.0,63.0,98.0,62.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-06,19.0,100.0,63.0,63.0,98.0,62.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-07,19.0,102.0,63.0,64.0,98.0,64.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-08,19.0,103.0,63.0,64.0,98.0,64.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-09,19.0,107.0,64.0,64.0,99.0,66.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-10,19.0,107.0,65.0,64.0,99.0,66.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-11,19.0,110.0,65.0,64.0,100.0,66.0,48.0,60.0,40.0
City of Hamilton Health Unit,06-12,20.0,112.0,65.0,64.0,100.0,66.0,48.0,61.0,40.0
City of Hamilton Health Unit,06-13,21.0,113.0,65.0,64.0,100.0,67.0,48.0,61.0,40.0
City of Hamilton Health Unit,06-14,22.0,116.0,66.0,64.0,100.0,67.0,49.0,61.0,40.0
City of Hamilton Health Unit,06-15,23.0,119.0,66.0,65.0,100.0,67.0,49.0,61.0,40.0
City of Hamilton Health Unit,06-16,24.0,119.0,68.0,65.0,100.0,68.0,49.0,62.0,40.0
City of Hamilton Health Unit,06-17,25.0,119.0,69.0,66.0,102.0,68.0,49.0,62.0,40.0
City of Hamilton Health Unit,06-18,27.0,119.0,69.0,66.0,102.0,69.0,49.0,62.0,40.0
City of Hamilton Health Unit,06-19,27.0,119.0,69.0,66.0,102.0,69.0,49.0,62.0,40.0
City of Hamilton Health Unit,06-20,27.0,120.0,69.0,66.0,102.0,69.0,51.0,62.0,40.0
City of Hamilton Health Unit,06-21,27.0,121.0,69.0,66.0,102.0,69.0,51.0,62.0,40.0
City of Hamilton Health Unit,06-22,27.0,122.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
City of Hamilton Health Unit,06-23,27.0,123.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
City of Hamilton Health Unit,06-24,27.0,124.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
City of Hamilton Health Unit,06-25,27.0,125.0,69.0,66.0,102.0,70.0,52.0,62.0,40.0
City of Hamilton Health Unit,06-26,28.0,127.0,69.0,66.0,102.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,06-27,29.0,130.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,06-28,29.0,133.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,06-29,29.0,134.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,06-30,29.0,134.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-01,29.0,135.0,70.0,66.0,102.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-02,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-03,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-04,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-05,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-06,29.0,135.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-07,29.0,137.0,70.0,67.0,103.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-08,29.0,137.0,71.0,67.0,103.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-09,29.0,137.0,72.0,67.0,103.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-10,29.0,138.0,72.0,67.0,103.0,71.0,52.0,62.0,40.0
City of Hamilton Health Unit,07-11,29.0,138.0,73.0,69.0,103.0,71.0,53.0,63.0,40.0
City of Hamilton Health Unit,07-12,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
City of Hamilton Health Unit,07-13,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
City of Hamilton Health Unit,07-14,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
City of Hamilton Health Unit,07-15,29.0,138.0,73.0,70.0,103.0,71.0,53.0,63.0,40.0
City of Hamilton Health Unit,07-16,29.0,138.0,74.0,70.0,103.0,71.0,53.0,63.0,40.0
City of Hamilton Health Unit,07-17,29.0,138.0,74.0,70.0,104.0,73.0,53.0,63.0,40.0
City of Hamilton Health Unit,07-18,29.0,138.0,75.0,70.0,105.0,73.0,53.0,63.0,40.0
City of Hamilton Health Unit,07-19,29.0,138.0,75.0,70.0,105.0,73.0,53.0,63.0,40.0
City of Hamilton Health Unit,07-20,29.0,138.0,76.0,70.0,105.0,73.0,54.0,63.0,40.0
City of Hamilton Health Unit,07-21,29.0,138.0,77.0,70.0,105.0,73.0,54.0,63.0,40.0
City of Hamilton Health Unit,07-22,29.0,140.0,78.0,70.0,105.0,73.0,54.0,63.0,40.0
City of Hamilton Health Unit,07-23,30.0,143.0,79.0,71.0,106.0,73.0,54.0,63.0,40.0
City of Hamilton Health Unit,07-24,30.0,143.0,81.0,71.0,107.0,73.0,54.0,63.0,40.0
City of Hamilton Health Unit,07-25,30.0,143.0,81.0,71.0,108.0,74.0,54.0,63.0,40.0
City of Hamilton Health Unit,07-26,30.0,144.0,81.0,72.0,108.0,75.0,54.0,63.0,40.0
City of Hamilton Health Unit,07-27,30.0,144.0,81.0,72.0,108.0,75.0,54.0,63.0,40.0
City of Hamilton Health Unit,07-28,30.0,144.0,82.0,73.0,108.0,75.0,54.0,63.0,40.0
City of Hamilton Health Unit,07-29,30.0,144.0,82.0,73.0,108.0,75.0,54.0,63.0,40.0
